 run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ;
 2; 15; 6; 2048; 0.00010; 0.01719; 0.00149; 0.03270;  3.22315; 0.01774;  0.01774; 0.00008 ;  64942.713970 ; 48.689567 ;
 3; 15; 6; 2048; 0.00010; 0.01668; 0.00151; 0.03273;  3.24690; 0.01793;  0.01793; 0.00007 ;  63615.633679 ; 49.046308 ;
 4; 15; 6; 2048; 0.00010; 0.01719; 0.00149; 0.03270;  3.22315; 0.01774;  0.01774; 0.00008 ;  64942.713970 ; 48.689567 ;
 0; 15; 6; 4096; 0.00011; 0.01711; 0.00152; 0.03348;  5.82634; 0.03569;  0.03569; 0.00009 ;  63857.872409 ; 88.010094 ;
 1; 15; 6; 4096; 0.00010; 0.01812; 0.00153; 0.03332;  5.79270; 0.03574;  0.03574; 0.00006 ;  62914.306548 ; 87.504851 ;
 2; 15; 6; 4096; 0.00011; 0.01711; 0.00152; 0.03348;  5.82634; 0.03569;  0.03569; 0.00009 ;  63857.872409 ; 88.010094 ;
 3; 15; 6; 4096; 0.00010; 0.01812; 0.00153; 0.03332;  5.79270; 0.03574;  0.03574; 0.00006 ;  62914.306548 ; 87.504851 ;
 4; 15; 6; 4096; 0.00011; 0.01711; 0.00152; 0.03348;  5.82634; 0.03569;  0.03569; 0.00009 ;  63857.872409 ; 88.010094 ;
 0; 15; 6; 8192; 0.00012; 0.01700; 0.00153; 0.03344;  12.08541; 0.07121;  0.07121; 0.00228 ;  63518.276851 ; 182.469670 ;
 1; 15; 6; 8192; 0.00012; 0.01769; 0.00153; 0.03303;  12.13286; 0.07120;  0.07120; 0.00008 ;  62734.858962 ; 183.147788 ;
 2; 15; 6; 8192; 0.00012; 0.01700; 0.00153; 0.03344;  12.08541; 0.07121;  0.07121; 0.00228 ;  63518.276851 ; 182.469670 ;
 3; 15; 6; 8192; 0.00012; 0.01769; 0.00153; 0.03303;  12.13286; 0.07120;  0.07120; 0.00008 ;  62734.858962 ; 183.147788 ;
 4; 15; 6; 8192; 0.00012; 0.01700; 0.00153; 0.03344;  12.08541; 0.07121;  0.07121; 0.00228 ;  63518.276851 ; 182.469670 ;
 0; 15; 7; 1024; 0.00256; 0.05574; 0.00014; 0.00518;  0.15217; 0.00055;  0.00055; 0.00005 ;  50702.121728 ; 2.522772 ;
 1; 15; 7; 1024; 0.00008; 0.00150; 0.00010; 0.00349;  0.14653; 0.00054;  0.00054; 0.00002 ;  51074.051274 ; 2.215543 ;
 2; 15; 7; 1024; 0.00007; 0.00145; 0.00010; 0.00349;  0.14666; 0.00054;  0.00054; 0.00004 ;  50131.093361 ; 2.217502 ;
 3; 15; 7; 1024; 0.00007; 0.00147; 0.00010; 0.00349;  0.14684; 0.00054;  0.00054; 0.00002 ;  50034.913526 ; 2.220141 ;
 4; 15; 7; 1024; 0.00007; 0.00143; 0.00010; 0.00349;  0.14672; 0.00054;  0.00054; 0.00002 ;  50142.514082 ; 2.218177 ;
 0; 15; 7; 2048; 0.00007; 0.00143; 0.00010; 0.00349;  0.14778; 0.00103;  0.00103; 0.00004 ;  50219.190647 ; 2.243144 ;
 1; 15; 7; 2048; 0.00009; 0.00156; 0.00010; 0.00349;  0.14769; 0.00103;  0.00103; 0.00002 ;  49430.747332 ; 2.243092 ;
 2; 15; 7; 2048; 0.00008; 0.00145; 0.00010; 0.00349;  0.14858; 0.00103;  0.00103; 0.00005 ;  49650.260839 ; 2.255373 ;
